,"Heure locale
access_time
30mn
METAR",,Température,Temps,Pluie,Vent,Humidité,Bio-météo,Pt. de rosée,Pression,Visibilité
0,2023-01-01 00:00:00,add_circle_outline,"9.5 °C
9.5 → 9.9",,0 mm/1h,"7 km/h
raf.10.8",94%,8.5,8.6 °C,1013.3hPa,60 km
1,2023-01-01 23:00:00,add_circle_outline,"9.9 °C
9.9 → 10.5",,0 mm/1h,"7 km/h
raf.28.8",94%,9,9 °C,1012.8hPa,60 km
2,2023-01-01 22:00:00,add_circle_outline,"10.5 °C
10.5 → 13.1",,0 mm/1h,"22 km/h

raf.42.5",91%,,9.1 °C,1011.6hPa,60 km
3,2023-01-01 21:00:00,add_circle_outline,"13.1 °C
13 → 13.4",,0 mm/1h,"22 km/h

raf.39.2",89%,,11.3 °C,1010.1hPa,14 km
4,2023-01-01 20:00:00,add_circle_outline,"13.0 °C
12.1 → 13",,0 mm/1h,"18 km/h

raf.34.9",89%,,11.2 °C,1008.6hPa,30 km
5,2023-01-01 19:00:00,add_circle_outline,"12.0 °C
11.6 → 12.1",,0 mm/1h,"11 km/h
raf.21.6",90%,,10.4 °C,1008.7hPa,19 km
6,2023-01-01 18:00:00,add_circle_outline,"12.0 °C
11.7 → 12",,0 mm/1h,"14 km/h

raf.33.1",89%,,10.2 °C,1008.8hPa,30 km
7,2023-01-01 17:00:00,add_circle_outline,"11.6 °C
11.3 → 11.6",,0 mm/1h,"18 km/h

raf.34.2",91%,17 ,10.2 °C,1008.7hPa,28 km
8,2023-01-01 16:00:00,add_circle_outline,"11.3 °C
11.3 → 11.4",,0.4 mm/1h,"11 km/h
raf.17.6",97%,28 ,10.8 °C,1010.2hPa,9 km
9,2023-01-01 15:00:00,add_circle_outline,"11.4 °C
11.1 → 11.4",,0.4 mm/1h,"7 km/h
raf.16.2",95%,33 ,10.6 °C,1010.6hPa,35 km
10,2023-01-01 14:00:00,add_circle_outline,"11.2 °C
11.2 → 11.8",,1.6 mm/1h,"14 km/h

raf.30.6",93%,31 ,10.1 °C,1012.1hPa,8 km
11,2023-01-01 13:00:00,add_circle_outline,"11.8 °C
11.8 → 12.2",,1 mm/1h,"18 km/h
raf.27.4",95%,42 ,11 °C,1013.1hPa,5 km
12,2023-01-01 12:00:00,add_circle_outline,"12.2 °C
12 → 12.3",,0 mm/1h,"14 km/h
raf.25.6",90%,67 ,10.6 °C,1013.9hPa,18 km
13,2023-01-01 11:00:00,add_circle_outline,"12.0 °C
11.7 → 12.2",,0 mm/1h,"14 km/h

raf.34.9",89%,31 ,10.2 °C,1014.3hPa,23 km
14,2023-01-01 10:00:00,add_circle_outline,"11.7 °C
11.1 → 11.7",,0 mm/1h,"14 km/h
raf.24.1",91%,6 ,10.3 °C,1014.8hPa,17 km
15,2023-01-01 09:00:00,add_circle_outline,"11.3 °C
11.3 → 12.1",,0 mm/1h,"18 km/h

raf.31.7",84%,,8.7 °C,1014.1hPa,40 km
16,2023-01-01 08:00:00,add_circle_outline,"11.8 °C
11.6 → 11.8",,0 mm/1h,"22 km/h

raf.33.1",86%,,9.5 °C,1014.5hPa,18 km
17,2023-01-01 07:00:00,add_circle_outline,"11.8 °C
11.8 → 12.5",,0 mm/1h,"22 km/h

raf.32.4",82%,,8.8 °C,1014.1hPa,17 km
18,2023-01-01 06:00:00,add_circle_outline,"12.5 °C
12.5 → 12.8",,0 mm/1h,"22 km/h

raf.38.9",81%,,9.3 °C,1014.0hPa,17 km
19,2023-01-01 05:00:00,add_circle_outline,"12.8 °C
12.7 → 12.8",,0 mm/1h,"18 km/h

raf.37.4",86%,,10.5 °C,1013.7hPa,15 km
20,2023-01-01 04:00:00,add_circle_outline,"12.7 °C
12.5 → 13.1",,0 mm/1h,"18 km/h

raf.40",88%,,10.8 °C,1013.1hPa,17 km
21,2023-01-01 03:00:00,add_circle_outline,"13.1 °C
13.1 → 13.6",,0.2 mm/1h,"25 km/h

raf.44.6",82%,,10.1 °C,1013.1hPa,11 km
